Date, Open, High, Low, Close, Volume
03/28/22, 41.197, 42.81, 39.32, 42.71, 35741020
03/25/22, 42.07, 42.3698, 39.75, 42.01, 36316039
03/24/22, 37.82, 42.25, 37.30, 42.09, 44687246
03/23/22, 38.51, 39.99, 36.5902, 36.69, 38313160
03/22/22, 38.79, 41.02, 38.63, 39.59, 34654070
03/21/22, 38.70, 39.97, 36.88, 39.00, 38312059
03/18/22, 36.61, 39.675, 35.60, 39.17, 39797738
03/17/22, 35.25, 37.00, 34.32, 36.95, 37147461
03/16/22, 33.04, 36.40, 32.06, 36.30, 55753992
03/15/22, 28.45, 31.7201, 28.0098, 31.51, 42082898
03/14/22, 30.01, 30.85, 27.30, 27.91, 49351449
03/11/22, 34.16, 34.42, 30.50, 30.69, 34118289
03/10/22, 33.07, 33.20, 30.80, 32.75, 43831461
03/09/22, 34.12, 35.66, 33.07, 34.93, 46482391
03/08/22, 29.67, 34.34, 28.48, 31.16, 68456461
03/07/22, 34.82, 35.60, 29.50, 29.58, 50665840
03/04/22, 36.63, 37.42, 33.36, 34.77, 47006008
03/03/22, 40.65, 40.8699, 36.82, 37.55, 45902801
03/02/22, 37.47, 40.88, 37.23, 40.12, 41485359
03/01/22, 40.78, 41.30, 35.35, 36.58, 46635008
02/28/22, 40.20, 42.23, 38.56, 41.01, 43350648
02/25/22, 40.00, 41.84, 38.16, 41.78, 40948961
02/24/22, 31.81, 40.05, 31.55, 39.94, 68362141
02/23/22, 40.068, 41.30, 35.63, 35.91, 52830566
02/22/22, 38.23, 41.56, 36.83, 38.61, 49765566
02/18/22, 41.14, 41.349, 37.77, 39.63, 46904090
02/17/22, 44.12, 44.39, 40.67, 40.87, 41858898
02/16/22, 44.07, 46.50, 43.04, 46.10, 35357633
02/15/22, 41.90, 46.29, 41.67, 46.01, 40132273
02/14/22, 39.75, 41.85, 37.86, 39.59, 43218359
02/11/22, 46.56, 47.65, 38.42, 39.54, 51212762
02/10/22, 47.58, 52.21, 45.5798, 46.42, 51371000
02/09/22, 48.43, 51.23, 46.71, 51.02, 35302832
02/08/22, 42.75, 46.88, 42.54, 46.60, 33686781
02/07/22, 43.64, 45.52, 42.86, 43.41, 28382029
02/04/22, 42.08, 44.5201, 40.37, 43.46, 30575590
02/03/22, 45.58, 47.80, 42.15, 42.63, 32875328
